Case #1
Cathy (CEO) 2007
-Karl (VP) 2009
--Fred (Technician) 2010
Case #2
Nancy (CEO) 2007
-Karl (Manager) 2009
--Adam (Technician) 2010
--Bob (Technician) 2012
--Cathy (Technician) 2013
-Wendy (Technician) 2012
Case #3
Karl (CEO) 2005
-Vince (VP) 2009
--Cathy (Director) 2006
---Fred (Technician) 2010
---Betty (Manager) 2012
----Oscar (Technician) 2006
--Susan (Director) 2009
---Bob (Manager) 2010
----Paul (Technician) 2007
---Adam (Technician) 2011
---Carl (Technician) 2010
---Tom (Technician) 2011
---Sam (Technician) 2008
-Ryan (VP) 2007
--Dan (Director) 2008
---Wendy (Manager) 2010
----Nancy (Technician) 2013
----Ned (Technician) 2009
----Liam (Technician) 2007
----Ed (Technician) 2007
----Patty (Technician) 2008
---Jill (Manager) 2012
----Amy (Technician) 2012
----Katie (Technician) 2007
----Matt (Technician) 2007
--Jack (Director) 2009
---Lilly (Manager) 2007
----Mary (Technician) 2013
